model_name,width x length,aspect ratio,area, level,level 1 height,level 2 height,level 3 height, bedrooms,master bedroom size,secondary bedroom size,bedroom at level, bathrooms,main bathroom size,secondary bathroom size, garages,garage size, living_rooms,living room size, kitchens,kitchen size,outdoor kitchen, dining rooms,dining room size,open kitchen,great room (dining room + living room),great room size, front porch,front porch size, back porch,back porch size,patio,patio size,balcony,balcony size,laundry,pantry,butler,fireplace,stair,elevator,morning room,loft bedroom,layout, style,heading,description
simple-room/4x6,4x6,0.67,24,1,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,simple,south,"A compact 4 x 6 meter single-room structure (24 sqm) designed for simplicity and functionality, featuring a classic pyramid roof that allows efficient rainwater drainage while giving the building a clean, balanced appearance. The structure includes a standard entry door, a window for natural light and ventilation, and a centrally positioned ceiling lamp to provide adequate interior illumination. With its efficient layout and modest footprint, this unit is ideal for use as a storage shed, small workspace, guard post, site office, or minimal shelter, offering practical usability and comfort even in limited spaces."
simple-room/7x5,7x5,1.4,35,1,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,simple,south,"A 35 sqm single-room structure (7 x 5 meters) featuring a simple rectangular footprint and a classic pyramid roof that enhances both structural balance and efficient rainwater runoff. The design includes a standard entry door, a window to provide natural lighting and ventilation, and a centrally installed ceiling lamp for adequate interior illumination. With its clean lines and straightforward layout, this structure offers a practical and versatile space suitable for use as a small office, workshop, storage facility, guard house, or minimal living shelter."
simple-room/22x13,22x13,1.69,286,1,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,simple,south,"A large 22 x 13 meter single-room structure (286 sqm) designed with a spacious open floor plan that allows maximum flexibility for various uses. The building features a pyramid roof that provides structural stability and efficient rainwater drainage, along with a standard entry door, strategically placed windows for natural lighting and ventilation, and ceiling lamps to ensure adequate interior illumination. With its expansive unobstructed interior, this structure is well-suited for use as a warehouse, workshop, multipurpose hall, training facility, storage building, or other large-scale operational space requiring adaptability and openness."
simple-room/2-level-8x6,8x6,1.33,48,2,2.7,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,simple,south,"A two-level 8 x 6 meter structure with a total floor area of 48 sqm, designed for efficient vertical space utilization and functionality. The ground floor features a ceiling height of 2.7 meters, providing a comfortable and spacious interior environment, while the upper floor offers a 2.5-meter height, suitable for office, storage, or residential use. The levels are connected by an internal staircase equipped with a protective railing to ensure safety and ease of access. The upper level is finished with a pyramid roof, enhancing structural balance and enabling effective rainwater drainage while giving the building a clean, proportional architectural appearance."
simple-room/2-level-7x14,7x14,0.5,98,2,2.7,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,simple,south,"A two-level 7 x 14 meter structure with a total floor area of 98 sqm, designed with an elongated footprint that maximizes linear space efficiency and functional layout flexibility. The ground floor features a 2.7-meter ceiling height, creating a comfortable and open atmosphere suitable for operational or communal activities, while the upper floor offers a 2.5-meter height ideal for office, storage, or private use. The two levels are connected by a staircase equipped with a protective railing for safe and convenient access. Its streamlined rectangular form makes the structure well-suited for use as a site office, training facility, modular workspace, or compact commercial building."
master/modern-minimalist-6x6-house,6x6,1,36,1,2.6,-,-,1,2.75x3.0,-,1,1,3.2x1.8,-,-,-,-,-,1,2.1x4.2,-,-,-,-,1,3.35x2.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A compact 6 x 6 meter modern minimalist single-level home (36 sqm) designed for efficient living with clean lines and an uncluttered aesthetic. The layout features one bedroom and one bathroom, with a versatile great room that combines living and dining areas, and a well-equipped kitchen. With a 2.6-meter ceiling height and a square footprint, this home maximizes space through thoughtful open planning and a restrained material palette. Ideal for singles, couples, or as a compact retreat, offering comfort and simplicity in a modest, contemporary footprint."
master/modern-minimalist-6x8-house,6x8,0.75,48,1,2.7,-,-,1,3.7x3.0,-,1,1,4.3x1.8,-,-,-,1,3.7x3.0,-,-,-,-,-,1,4.3x1.8,-,-,-,-,-,-,-,-,-,1.2x1.2,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A 6 x 8 meter modern minimalist single-level home (48 sqm) designed for efficient living with clean lines and an uncluttered aesthetic. The layout features one bedroom and one bathroom, a dedicated living room, and a versatile great room that combines dining and flexible daily use. A compact patio (1.2 x 1.2 meters) extends the living space outdoors for casual relaxation. With a 2.7-meter ceiling height and a rectangular footprint, this home is ideal for singles or couples seeking a modest yet comfortable modern retreat with thoughtful indoor-outdoor flow."
master/contemporary-tropical-bungalow-7x6-house,7x6,1.17,42,1,2.7,-,-,1,4.25x2.5,-,1,1,2.65x1.9,-,-,-,1,3.35x2.6,1,2.65x1.4,-,-,2.65x1.2,-,-,-,1,1.75x4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A 7 x 6 meter contemporary tropical bungalow (42 sqm) blending modern simplicity with relaxed island-inspired living. The single-level layout features one bedroom and one bathroom, a dedicated living room, a compact kitchen, and a great room that supports flexible daily use. A covered back porch extends the living space outdoors, ideal for enjoying breezes, outdoor dining, or casual relaxation in a tropical setting. With a 2.7-meter ceiling height and a rectangular footprint, this home is well-suited for warm climates, vacation retreats, or compact primary residences seeking a light, airy, and contemporary tropical character."
master/tropical-modern-cottage-7x7-house,7x7,1,49,1,2.7,-,-,1,2.8x3.5,-,1,1,2.0x3.5,-,-,-,1,2.55x3.5,1,2.0x2.5,-,1,2.4x3.5,-,-,-,-,-,-,-,-,-,-,-,2.0x1.0,-,-,-,-,-,-,-,rectangle,tropical modern,south,"A 7 x 7 meter tropical modern cottage (49 sqm) blending island-inspired character with contemporary simplicity. The single-level layout features one bedroom and one bathroom, a dedicated living room, a compact kitchen with an outdoor kitchen for alfresco cooking, and a separate dining room. A patio (2.0 x 1.0 meters) extends the living space outdoors for casual relaxation, while a laundry area adds everyday convenience. With a 2.7-meter ceiling height and a square footprint, this home is well-suited for warm climates, vacation retreats, or compact primary residences seeking a relaxed tropical modern aesthetic."
master/modern-minimalist-8x6-house,8x6,1.33,48,1,2.7,-,-,1,4.7x3.2,-,1,1,1.5x2.65,-,-,-,-,-,-,-,-,-,-,1,3.2x2.6,-,-,1.3x8.0,-,-,-,-,-,-,0.95x0.95,-,-,-,-,-,-,-,rectangle,modern minimalist,south,"A 8 x 6 meter modern minimalist single-level home (48 sqm) offering a step up in space from the 6x6 variant while retaining clean lines and an uncluttered aesthetic. The layout features one bedroom and one bathroom, with a versatile great room that combines living, dining, and kitchen functions in an open plan. A full-width front porch (1.3 x 8 meters) extends along the façade, providing sheltered outdoor space for entry and relaxation. A compact laundry area adds everyday convenience. With a 2.7-meter ceiling height and a rectangular footprint, this home is ideal for singles or couples seeking a modest yet comfortable modern retreat with thoughtful indoor-outdoor flow."
master/cottage-6x9,6x9,0.67,54,1,2.7,-,-,2,3.7x3.0,2.5x3.0,1,1,1.75x1.80,-,-,-,1,2.0x2.0,1,1.4x1.8,-,1,1.4x2.0,-,-,-,1,2.5x6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,rectangle,cottage,south,"A 6 x 9 meter cottage-style single-level home (54 sqm) designed for cozy, efficient living with a warm and inviting character. The layout features two bedrooms and one bathroom, a dedicated living room, a compact kitchen with an outdoor kitchen for alfresco cooking, and a separate dining room. A full-width front porch (2.5 x 6 meters) extends along the façade, providing sheltered outdoor space for entry, relaxation, and enjoying the outdoors. With a 2.7-meter ceiling height and a rectangular footprint, this home is ideal for couples or small families seeking a modest cottage retreat with thoughtful indoor-outdoor flow and a relaxed, traditional aesthetic."
